Ethylene,,,,,,,,,,,,,,,
Time,m2,m4,m14,m16,m18,m25,m26,m27,m28,m29,m30,m32,m40,m44,m15
6363.23,6.19E-11,5.00E-13,2.48E-11,3.37E-12,7.89E-11,1.21E-09,5.60E-09,1.25E-10,7.24E-11,5.27E-12,7.19E-13,1.17E-12,1.57E-08,1.60E-11,4.84E-11
6366.33,6.17E-11,4.88E-13,2.49E-11,3.35E-12,7.87E-11,1.22E-09,5.61E-09,1.25E-10,7.25E-11,5.10E-12,6.95E-13,1.12E-12,1.57E-08,1.58E-11,4.80E-11
6369.44,6.17E-11,4.93E-13,2.49E-11,3.38E-12,7.84E-11,1.22E-09,5.61E-09,1.25E-10,7.26E-11,5.21E-12,6.93E-13,1.20E-12,1.57E-08,1.57E-11,4.85E-11
6372.53,6.12E-11,4.90E-13,2.48E-11,3.49E-12,7.84E-11,1.22E-09,5.60E-09,1.25E-10,7.23E-11,5.12E-12,6.79E-13,1.13E-12,1.57E-08,1.58E-11,4.81E-11
6375.62,6.12E-11,5.02E-13,2.50E-11,3.34E-12,7.80E-11,1.22E-09,5.61E-09,1.25E-10,7.17E-11,5.11E-12,6.87E-13,1.15E-12,1.57E-08,1.55E-11,4.81E-11
6378.73,6.15E-11,4.96E-13,2.51E-11,3.39E-12,7.82E-11,1.22E-09,5.61E-09,1.25E-10,7.26E-11,5.19E-12,6.95E-13,1.15E-12,1.57E-08,1.57E-11,4.87E-11
6381.83,6.15E-11,4.81E-13,2.50E-11,3.34E-12,7.83E-11,1.22E-09,5.61E-09,1.25E-10,7.18E-11,5.18E-12,7.06E-13,1.16E-12,1.57E-08,1.59E-11,4.87E-11
6384.94,6.17E-11,5.00E-13,2.48E-11,3.39E-12,7.87E-11,1.22E-09,5.60E-09,1.25E-10,7.24E-11,5.27E-12,7.36E-13,1.17E-12,1.57E-08,1.56E-11,4.86E-11
6388.03,6.14E-11,4.81E-13,2.51E-11,3.31E-12,7.86E-11,1.22E-09,5.60E-09,1.25E-10,7.22E-11,5.31E-12,6.55E-13,1.13E-12,1.57E-08,1.56E-11,4.82E-11
6391.12,6.13E-11,4.91E-13,2.47E-11,3.32E-12,7.79E-11,1.22E-09,5.61E-09,1.25E-10,7.19E-11,5.17E-12,7.09E-13,1.19E-12,1.57E-08,1.56E-11,4.81E-11
6394.22,6.14E-11,4.88E-13,2.49E-11,3.39E-12,7.84E-11,1.22E-09,5.61E-09,1.25E-10,7.25E-11,5.30E-12,6.93E-13,1.18E-12,1.57E-08,1.57E-11,4.84E-11
6397.33,6.13E-11,4.93E-13,2.45E-11,3.29E-12,7.83E-11,1.22E-09,5.61E-09,1.25E-10,7.23E-11,5.23E-12,6.88E-13,1.17E-12,1.57E-08,1.57E-11,4.81E-11
6400.42,6.16E-11,4.93E-13,2.48E-11,3.33E-12,7.79E-11,1.22E-09,5.61E-09,1.25E-10,7.19E-11,5.26E-12,6.49E-13,1.12E-12,1.57E-08,1.58E-11,4.81E-11
6403.52,6.17E-11,4.84E-13,2.50E-11,3.32E-12,7.80E-11,1.22E-09,5.61E-09,1.24E-10,7.19E-11,5.15E-12,7.04E-13,1.14E-12,1.57E-08,1.56E-11,4.86E-11
6406.62,6.12E-11,4.86E-13,2.48E-11,3.26E-12,7.80E-11,1.22E-09,5.61E-09,1.26E-10,7.19E-11,5.23E-12,7.21E-13,1.11E-12,1.57E-08,1.56E-11,4.84E-11
6409.78,6.09E-11,4.96E-13,2.49E-11,3.38E-12,7.84E-11,1.22E-09,5.61E-09,1.25E-10,7.22E-11,5.17E-12,6.71E-13,1.19E-12,1.57E-08,1.56E-11,4.82E-11
6412.89,6.14E-11,5.06E-13,2.49E-11,3.34E-12,7.76E-11,1.22E-09,5.61E-09,1.25E-10,7.23E-11,5.28E-12,7.04E-13,1.17E-12,1.57E-08,1.57E-11,4.81E-11
6415.98,6.08E-11,4.89E-13,2.49E-11,3.28E-12,7.79E-11,1.22E-09,5.61E-09,1.24E-10,7.18E-11,5.23E-12,6.68E-13,1.19E-12,1.57E-08,1.57E-11,4.86E-11
6419.08,6.16E-11,5.06E-13,2.50E-11,3.31E-12,7.86E-11,1.22E-09,5.61E-09,1.24E-10,7.21E-11,5.19E-12,7.04E-13,1.14E-12,1.57E-08,1.57E-11,4.83E-11
