Temp,Acetaldehyde Concentration(bar),(E) 2-Butenal (Crotonaldehyde Concentration(bar),CO Concentration(bar),CO2 Concentration(bar),Ethylene (Ethene) Concentration(bar),Ethanol Concentration(bar),Crotyl Alcohol Concentration(bar),H2 Concentration(bar),H2O Concentration(bar)
176.889,0.011506194301382494,0.002370935388761138,0.030653375448961993,0.01576716274557689,0.0033879186539762787,8.672883993984503e-06,0.0004089143317043676,0.008813930535191096,0.0029226600689783422
177.0114,0.011865489434604541,0.0023792548473114804,0.030645336761809337,0.0157369289330225,0.003387022784724458,8.694321268448436e-06,0.000405956411044184,0.008814577355704968,0.002928207418694123
176.8458,0.011379384254362948,0.0023679991092727835,0.030656212632662917,0.015777833502949028,0.0033882348431239747,8.665317897114878e-06,0.000409958303702079,0.008813702245597962,0.0029207021808433605
176.9231,0.011606292046830795,0.0023732531464128264,0.03065113591275361,0.015758739763484544,0.003387669069487006,8.67885630655983e-06,0.000408090270474692,0.008814110736004192,0.0029242055316034076
176.9848,0.011787407322319355,0.0023774468604042974,0.03064708373140298,0.015743499353071084,0.003387217475264474,8.689662514357418e-06,0.0004065992271353679,0.008814436788501792,0.002927001867203601
177.0193,0.01188867923486967,0.002379791805829024,0.03064481792497515,0.015734977567669728,0.003386964963097903,8.695704883385238e-06,0.0004057654994983073,0.008814619103107414,0.0029285654584225097
177.032,0.011925959040359188,0.0023806550176230564,0.03064398384550751,0.015731840562608977,0.003386872009343838,8.69792917575201e-06,0.0004054585910637937,0.00881468621602021,0.002929141041277007
176.9611,0.011717837921523918,0.002375835984851657,0.030648640241905556,0.01574935344912937,0.0033873909401441094,8.685511669546995e-06,0.0004071719617730018,0.008814311546294447,0.0029259277480184376
176.8494,0.01138995175828124,0.002368243799230146,0.03065597620068783,0.015776944273168024,0.0033882084940283423,8.665948405187346e-06,0.00040987130603560297,0.008813721269730722,0.0029208653381879424
176.9185,0.011592789125157448,0.0023729404870228613,0.030651438020277318,0.015759876001538,0.0033877027377758706,8.678050657356116e-06,0.00040820143415963437,0.008814086427390106,0.0029239970527742193
176.8734,0.011460401784403215,0.002369875065612566,0.03065439998752066,0.015771016074627935,0.003388032833390725,8.670151792337138e-06,0.00040929132159243036,0.008813848097282464,0.002921953053818487
176.9646,0.011728111883666601,0.002376073877865761,0.030648410377485356,0.015748488920175694,0.003387365322967808,8.686124663506343e-06,0.00040708738070837226,0.008814330041979075,0.0029260863732145587
176.9394,0.01165413935623861,0.0023743610481642198,0.030650065401310895,0.015754713528642734,0.00338754976663729,8.681711106999066e-06,0.00040769636437370404,0.008814196873049749,0.002924944271802487
176.8496,0.011390538841832288,0.0023682573931166676,0.03065596306557812,0.015776894871513514,0.003388207030189687,8.665983433413596e-06,0.00040986647283191,0.008813722326626989,0.002920874402484864
176.9133,0.011577524952831016,0.0023725870459733373,0.0306517795331302,0.01576116044455503,0.003387740797580689,8.677139923473665e-06,0.00040832709745565487,0.008814058948087232,0.0029237613810542684
176.7969,0.011235842326139518,0.002364675404018602,0.030659424166991047,0.015789912207474388,0.003388592751673104,8.656753495797176e-06,0.0004111400220050447,0.00881344383446129,0.002918485960246124
176.792,0.011221458779139618,0.002364342353798859,0.03065974597717936,0.01579112254800965,0.00338862861571995,8.655895304254093e-06,0.0004112584354955258,0.008813417940502812,0.0029182638849715547
